../../data/IMDB
2024-12-18 18:04:18
Graph(num_nodes=21420, num_edges=108062,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00052 | Train_Loss: 0.5930 | train Time: 0.2108 | Val_Loss 0.5796 | val Time(s) 0.1451
Epoch 00053 | Train_Loss: 0.5925 | train Time: 0.2529 | Val_Loss 0.5790 | val Time(s) 0.0948
Epoch 00054 | Train_Loss: 0.5917 | train Time: 0.2503 | Val_Loss 0.5787 | val Time(s) 0.0917
Epoch 00055 | Train_Loss: 0.5912 | train Time: 0.2549 | Val_Loss 0.5783 | val Time(s) 0.1340
Epoch 00056 | Train_Loss: 0.5903 | train Time: 0.2747 | Val_Loss 0.5780 | val Time(s) 0.1400
Epoch 00057 | Train_Loss: 0.5918 | train Time: 0.2103 | Val_Loss 0.5785 | val Time(s) 0.0991
Epoch 00058 | Train_Loss: 0.5895 | train Time: 0.2746 | Val_Loss 0.5786 | val Time(s) 0.1235
Epoch 00059 | Train_Loss: 0.5899 | train Time: 0.2488 | Val_Loss 0.5781 | val Time(s) 0.0976
Epoch 00060 | Train_Loss: 0.5876 | train Time: 0.2624 | Val_Loss 0.5773 | val Time(s) 0.0991
Epoch 00061 | Train_Loss: 0.5876 | train Time: 0.2127 | Val_Loss 0.5769 | val Time(s) 0.0926
Epoch 00062 | Train_Loss: 0.5881 | train Time: 0.2498 | Val_Loss 0.5768 | val Time(s) 0.1338
Epoch 00063 | Train_Loss: 0.5841 | train Time: 0.2111 | Val_Loss 0.5765 | val Time(s) 0.1154
Epoch 00064 | Train_Loss: 0.5869 | train Time: 0.2505 | Val_Loss 0.5761 | val Time(s) 0.0952
Epoch 00065 | Train_Loss: 0.5887 | train Time: 0.2311 | Val_Loss 0.5762 | val Time(s) 0.1562
Epoch 00066 | Train_Loss: 0.5843 | train Time: 0.2318 | Val_Loss 0.5766 | val Time(s) 0.0937
Epoch 00067 | Train_Loss: 0.5856 | train Time: 0.2786 | Val_Loss 0.5766 | val Time(s) 0.0923
Epoch 00068 | Train_Loss: 0.5868 | train Time: 0.2473 | Val_Loss 0.5757 | val Time(s) 0.1406
Epoch 00069 | Train_Loss: 0.5882 | train Time: 0.2105 | Val_Loss 0.5746 | val Time(s) 0.0923
Epoch 00070 | Train_Loss: 0.5834 | train Time: 0.2102 | Val_Loss 0.5740 | val Time(s) 0.0943
Epoch 00071 | Train_Loss: 0.5845 | train Time: 0.2257 | Val_Loss 0.5735 | val Time(s) 0.1480
Epoch 00072 | Train_Loss: 0.5846 | train Time: 0.2134 | Val_Loss 0.5733 | val Time(s) 0.1500
Epoch 00073 | Train_Loss: 0.5831 | train Time: 0.2506 | Val_Loss 0.5735 | val Time(s) 0.0918
Epoch 00074 | Train_Loss: 0.5843 | train Time: 0.2367 | Val_Loss 0.5738 | val Time(s) 0.1218
Epoch 00075 | Train_Loss: 0.5815 | train Time: 0.2298 | Val_Loss 0.5738 | val Time(s) 0.1591
Epoch 00076 | Train_Loss: 0.5839 | train Time: 0.2851 | Val_Loss 0.5731 | val Time(s) 0.1227
Epoch 00077 | Train_Loss: 0.5829 | train Time: 0.2567 | Val_Loss 0.5727 | val Time(s) 0.1438
Epoch 00078 | Train_Loss: 0.5813 | train Time: 0.2451 | Val_Loss 0.5725 | val Time(s) 0.0959
Epoch 00079 | Train_Loss: 0.5824 | train Time: 0.2193 | Val_Loss 0.5728 | val Time(s) 0.1054
Epoch 00080 | Train_Loss: 0.5806 | train Time: 0.2768 | Val_Loss 0.5731 | val Time(s) 0.1064
Epoch 00081 | Train_Loss: 0.5841 | train Time: 0.2309 | Val_Loss 0.5728 | val Time(s) 0.0933
Epoch 00082 | Train_Loss: 0.5799 | train Time: 0.2650 | Val_Loss 0.5726 | val Time(s) 0.1085
Epoch 00083 | Train_Loss: 0.5815 | train Time: 0.2338 | Val_Loss 0.5729 | val Time(s) 0.0919
Epoch 00084 | Train_Loss: 0.5811 | train Time: 0.2618 | Val_Loss 0.5731 | val Time(s) 0.0972
Epoch 00085 | Train_Loss: 0.5791 | train Time: 0.2305 | Val_Loss 0.5730 | val Time(s) 0.0920
Epoch 00086 | Train_Loss: 0.5805 | train Time: 0.2310 | Val_Loss 0.5724 | val Time(s) 0.2064
Epoch 00087 | Train_Loss: 0.5775 | train Time: 0.2115 | Val_Loss 0.5720 | val Time(s) 0.0920
Epoch 00088 | Train_Loss: 0.5784 | train Time: 0.2099 | Val_Loss 0.5721 | val Time(s) 0.1069
Epoch 00089 | Train_Loss: 0.5777 | train Time: 0.2320 | Val_Loss 0.5723 | val Time(s) 0.1156
Epoch 00090 | Train_Loss: 0.5796 | train Time: 0.2621 | Val_Loss 0.5721 | val Time(s) 0.0948
Epoch 00091 | Train_Loss: 0.5754 | train Time: 0.2313 | Val_Loss 0.5720 | val Time(s) 0.0985
Epoch 00092 | Train_Loss: 0.5798 | train Time: 0.2107 | Val_Loss 0.5721 | val Time(s) 0.1088
Epoch 00093 | Train_Loss: 0.5790 | train Time: 0.2420 | Val_Loss 0.5721 | val Time(s) 0.0946
Epoch 00094 | Train_Loss: 0.5781 | train Time: 0.2321 | Val_Loss 0.5721 | val Time(s) 0.1018
Epoch 00095 | Train_Loss: 0.5767 | train Time: 0.2384 | Val_Loss 0.5719 | val Time(s) 0.1024
Epoch 00096 | Train_Loss: 0.5765 | train Time: 0.2107 | Val_Loss 0.5714 | val Time(s) 0.0970
Epoch 00097 | Train_Loss: 0.5764 | train Time: 0.2108 | Val_Loss 0.5711 | val Time(s) 0.0930
Epoch 00098 | Train_Loss: 0.5770 | train Time: 0.2141 | Val_Loss 0.5712 | val Time(s) 0.0930
Epoch 00099 | Train_Loss: 0.5769 | train Time: 0.2320 | Val_Loss 0.5714 | val Time(s) 0.0927
Epoch 00100 | Train_Loss: 0.5773 | train Time: 0.2394 | Val_Loss 0.5714 | val Time(s) 0.0930
Epoch 00101 | Train_Loss: 0.5762 | train Time: 0.2318 | Val_Loss 0.5711 | val Time(s) 0.0931
Epoch 00102 | Train_Loss: 0.5760 | train Time: 0.2449 | Val_Loss 0.5707 | val Time(s) 0.0928
Epoch 00103 | Train_Loss: 0.5745 | train Time: 0.2227 | Val_Loss 0.5707 | val Time(s) 0.1050
Epoch 00104 | Train_Loss: 0.5766 | train Time: 0.2152 | Val_Loss 0.5709 | val Time(s) 0.0956
Epoch 00105 | Train_Loss: 0.5752 | train Time: 0.2502 | Val_Loss 0.5708 | val Time(s) 0.0934
Epoch 00106 | Train_Loss: 0.5747 | train Time: 0.2322 | Val_Loss 0.5705 | val Time(s) 0.0928
Epoch 00107 | Train_Loss: 0.5744 | train Time: 0.2234 | Val_Loss 0.5703 | val Time(s) 0.0925
Epoch 00108 | Train_Loss: 0.5746 | train Time: 0.2146 | Val_Loss 0.5705 | val Time(s) 0.1096
Epoch 00109 | Train_Loss: 0.5737 | train Time: 0.2346 | Val_Loss 0.5705 | val Time(s) 0.1084
Epoch 00110 | Train_Loss: 0.5745 | train Time: 0.2319 | Val_Loss 0.5702 | val Time(s) 0.1007
Epoch 00111 | Train_Loss: 0.5718 | train Time: 0.2147 | Val_Loss 0.5700 | val Time(s) 0.0950
Epoch 00112 | Train_Loss: 0.5742 | train Time: 0.2211 | Val_Loss 0.5701 | val Time(s) 0.0934
Epoch 00113 | Train_Loss: 0.5736 | train Time: 0.2339 | Val_Loss 0.5701 | val Time(s) 0.0935
Epoch 00114 | Train_Loss: 0.5718 | train Time: 0.2379 | Val_Loss 0.5699 | val Time(s) 0.0938
Epoch 00115 | Train_Loss: 0.5745 | train Time: 0.2108 | Val_Loss 0.5697 | val Time(s) 0.0943
Epoch 00116 | Train_Loss: 0.5729 | train Time: 0.2128 | Val_Loss 0.5696 | val Time(s) 0.0923
Epoch 00117 | Train_Loss: 0.5739 | train Time: 0.2220 | Val_Loss 0.5697 | val Time(s) 0.0994
Epoch 00118 | Train_Loss: 0.5731 | train Time: 0.2316 | Val_Loss 0.5696 | val Time(s) 0.0922
Epoch 00119 | Train_Loss: 0.5714 | train Time: 0.2315 | Val_Loss 0.5695 | val Time(s) 0.0928
Epoch 00120 | Train_Loss: 0.5716 | train Time: 0.2211 | Val_Loss 0.5696 | val Time(s) 0.0926
Epoch 00121 | Train_Loss: 0.5721 | train Time: 0.2484 | Val_Loss 0.5695 | val Time(s) 0.0938
Epoch 00122 | Train_Loss: 0.5706 | train Time: 0.2106 | Val_Loss 0.5694 | val Time(s) 0.0995
Epoch 00123 | Train_Loss: 0.5718 | train Time: 0.2106 | Val_Loss 0.5695 | val Time(s) 0.0988
