../../data/Freebase
2024-12-18 17:58:09
Graph(num_nodes=180098, num_edges=1623206,
      ndata_schemes={}
      edata_schemes={})
8
model using: slotGAT
Epoch 00052 | Train_Loss: 1.2931 | train Time: 0.5694 | Val_Loss 1.4254 | val Time(s) 0.1599
Epoch 00053 | Train_Loss: 1.2852 | train Time: 0.5695 | Val_Loss 1.4253 | val Time(s) 0.1599
Epoch 00054 | Train_Loss: 1.2811 | train Time: 0.5700 | Val_Loss 1.4263 | val Time(s) 0.1588
Epoch 00055 | Train_Loss: 1.2731 | train Time: 0.5712 | Val_Loss 1.4276 | val Time(s) 0.1730
Epoch 00056 | Train_Loss: 1.2741 | train Time: 0.5701 | Val_Loss 1.4292 | val Time(s) 0.1612
Epoch 00057 | Train_Loss: 1.2768 | train Time: 0.5693 | Val_Loss 1.4299 | val Time(s) 0.1617
Epoch 00058 | Train_Loss: 1.2662 | train Time: 0.5737 | Val_Loss 1.4295 | val Time(s) 0.1585
Epoch 00059 | Train_Loss: 1.2623 | train Time: 0.5728 | Val_Loss 1.4288 | val Time(s) 0.1598
Epoch 00060 | Train_Loss: 1.2571 | train Time: 0.5692 | Val_Loss 1.4287 | val Time(s) 0.1608
Epoch 00061 | Train_Loss: 1.2533 | train Time: 0.5720 | Val_Loss 1.4289 | val Time(s) 0.1703
Epoch 00062 | Train_Loss: 1.2482 | train Time: 0.5725 | Val_Loss 1.4291 | val Time(s) 0.1729
Epoch 00063 | Train_Loss: 1.2495 | train Time: 0.5686 | Val_Loss 1.4297 | val Time(s) 0.1720
Epoch 00064 | Train_Loss: 1.2490 | train Time: 0.5720 | Val_Loss 1.4306 | val Time(s) 0.1623
Epoch 00065 | Train_Loss: 1.2446 | train Time: 0.5725 | Val_Loss 1.4315 | val Time(s) 0.1630
Epoch 00066 | Train_Loss: 1.2368 | train Time: 0.5751 | Val_Loss 1.4323 | val Time(s) 0.1581
Epoch 00067 | Train_Loss: 1.2336 | train Time: 0.5696 | Val_Loss 1.4334 | val Time(s) 0.1611
Epoch 00068 | Train_Loss: 1.2343 | train Time: 0.5803 | Val_Loss 1.4349 | val Time(s) 0.1607
