../../data/PubMed_NC
2024-12-18 18:01:05
Graph(num_nodes=63109, num_edges=421033,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00052 | Train_Loss: 1.4605 | train Time: 0.4787 | Val_Loss 1.7243 | val Time(s) 0.2331
Epoch 00053 | Train_Loss: 1.4629 | train Time: 0.4684 | Val_Loss 1.7152 | val Time(s) 0.2355
Epoch 00054 | Train_Loss: 1.4506 | train Time: 0.4790 | Val_Loss 1.7055 | val Time(s) 0.2342
Epoch 00055 | Train_Loss: 1.4501 | train Time: 0.4835 | Val_Loss 1.7049 | val Time(s) 0.2396
Epoch 00056 | Train_Loss: 1.4576 | train Time: 0.4887 | Val_Loss 1.7129 | val Time(s) 0.2408
Epoch 00057 | Train_Loss: 1.4507 | train Time: 0.4713 | Val_Loss 1.7212 | val Time(s) 0.2377
Epoch 00058 | Train_Loss: 1.4611 | train Time: 0.4697 | Val_Loss 1.7283 | val Time(s) 0.2411
Epoch 00059 | Train_Loss: 1.4343 | train Time: 0.4758 | Val_Loss 1.7323 | val Time(s) 0.2371
Epoch 00060 | Train_Loss: 1.4581 | train Time: 0.4701 | Val_Loss 1.7278 | val Time(s) 0.2346
Epoch 00061 | Train_Loss: 1.4202 | train Time: 0.4759 | Val_Loss 1.7203 | val Time(s) 0.2353
Epoch 00062 | Train_Loss: 1.4253 | train Time: 0.4713 | Val_Loss 1.7130 | val Time(s) 0.2573
Epoch 00063 | Train_Loss: 1.4437 | train Time: 0.4770 | Val_Loss 1.7145 | val Time(s) 0.2405
Epoch 00064 | Train_Loss: 1.4117 | train Time: 0.4918 | Val_Loss 1.7207 | val Time(s) 0.2378
Epoch 00065 | Train_Loss: 1.4501 | train Time: 0.4774 | Val_Loss 1.7319 | val Time(s) 0.2521
Epoch 00066 | Train_Loss: 1.4354 | train Time: 0.4902 | Val_Loss 1.7336 | val Time(s) 0.2353
Epoch 00067 | Train_Loss: 1.4337 | train Time: 0.4707 | Val_Loss 1.7288 | val Time(s) 0.2337
Epoch 00068 | Train_Loss: 1.4091 | train Time: 0.4725 | Val_Loss 1.7252 | val Time(s) 0.2383
Epoch 00069 | Train_Loss: 1.4064 | train Time: 0.4699 | Val_Loss 1.7202 | val Time(s) 0.2360
Epoch 00070 | Train_Loss: 1.4362 | train Time: 0.4795 | Val_Loss 1.7194 | val Time(s) 0.2291
Epoch 00071 | Train_Loss: 1.4167 | train Time: 0.4833 | Val_Loss 1.7181 | val Time(s) 0.2290
Epoch 00072 | Train_Loss: 1.4170 | train Time: 0.4831 | Val_Loss 1.7192 | val Time(s) 0.2376
Epoch 00073 | Train_Loss: 1.3971 | train Time: 0.4779 | Val_Loss 1.7195 | val Time(s) 0.2417
Epoch 00074 | Train_Loss: 1.4051 | train Time: 0.4818 | Val_Loss 1.7203 | val Time(s) 0.2460
Epoch 00075 | Train_Loss: 1.4191 | train Time: 0.4694 | Val_Loss 1.7204 | val Time(s) 0.2467
Epoch 00076 | Train_Loss: 1.3984 | train Time: 0.4797 | Val_Loss 1.7220 | val Time(s) 0.2414
Epoch 00077 | Train_Loss: 1.4242 | train Time: 0.4774 | Val_Loss 1.7223 | val Time(s) 0.2373
Epoch 00078 | Train_Loss: 1.3849 | train Time: 0.4729 | Val_Loss 1.7231 | val Time(s) 0.2383
Epoch 00079 | Train_Loss: 1.3821 | train Time: 0.4870 | Val_Loss 1.7240 | val Time(s) 0.2502
Epoch 00080 | Train_Loss: 1.3781 | train Time: 0.4995 | Val_Loss 1.7296 | val Time(s) 0.2375
Epoch 00081 | Train_Loss: 1.4198 | train Time: 0.4908 | Val_Loss 1.7369 | val Time(s) 0.2411
Epoch 00082 | Train_Loss: 1.3951 | train Time: 0.4816 | Val_Loss 1.7408 | val Time(s) 0.2433
Epoch 00083 | Train_Loss: 1.3970 | train Time: 0.4804 | Val_Loss 1.7425 | val Time(s) 0.2472
Epoch 00084 | Train_Loss: 1.4073 | train Time: 0.4722 | Val_Loss 1.7450 | val Time(s) 0.2463
Epoch 00085 | Train_Loss: 1.4143 | train Time: 0.4873 | Val_Loss 1.7429 | val Time(s) 0.2370
Epoch 00086 | Train_Loss: 1.4261 | train Time: 0.4784 | Val_Loss 1.7309 | val Time(s) 0.2369
Epoch 00087 | Train_Loss: 1.3979 | train Time: 0.4799 | Val_Loss 1.7278 | val Time(s) 0.2405
Epoch 00088 | Train_Loss: 1.4207 | train Time: 0.4877 | Val_Loss 1.7311 | val Time(s) 0.2384
Epoch 00089 | Train_Loss: 1.3954 | train Time: 0.4836 | Val_Loss 1.7356 | val Time(s) 0.2389
Epoch 00090 | Train_Loss: 1.3940 | train Time: 0.4818 | Val_Loss 1.7414 | val Time(s) 0.2578
Epoch 00091 | Train_Loss: 1.4002 | train Time: 0.4693 | Val_Loss 1.7461 | val Time(s) 0.2472
Epoch 00092 | Train_Loss: 1.4056 | train Time: 0.4817 | Val_Loss 1.7375 | val Time(s) 0.2404
Epoch 00093 | Train_Loss: 1.3931 | train Time: 0.4790 | Val_Loss 1.7306 | val Time(s) 0.2395
Epoch 00094 | Train_Loss: 1.3962 | train Time: 0.4884 | Val_Loss 1.7336 | val Time(s) 0.2360
Epoch 00095 | Train_Loss: 1.3835 | train Time: 0.4789 | Val_Loss 1.7447 | val Time(s) 0.2383
Epoch 00096 | Train_Loss: 1.4189 | train Time: 0.4902 | Val_Loss 1.7486 | val Time(s) 0.2400
Epoch 00097 | Train_Loss: 1.4105 | train Time: 0.4825 | Val_Loss 1.7477 | val Time(s) 0.2412
Epoch 00098 | Train_Loss: 1.4203 | train Time: 0.4785 | Val_Loss 1.7449 | val Time(s) 0.2501
Epoch 00099 | Train_Loss: 1.3771 | train Time: 0.4695 | Val_Loss 1.7435 | val Time(s) 0.2483
Epoch 00100 | Train_Loss: 1.3910 | train Time: 0.4755 | Val_Loss 1.7386 | val Time(s) 0.2341
Epoch 00101 | Train_Loss: 1.3867 | train Time: 0.4745 | Val_Loss 1.7391 | val Time(s) 0.2479
Epoch 00102 | Train_Loss: 1.4106 | train Time: 0.4858 | Val_Loss 1.7390 | val Time(s) 0.2358
Epoch 00103 | Train_Loss: 1.3952 | train Time: 0.4707 | Val_Loss 1.7392 | val Time(s) 0.2559
Epoch 00104 | Train_Loss: 1.3933 | train Time: 0.4787 | Val_Loss 1.7396 | val Time(s) 0.2436
Epoch 00105 | Train_Loss: 1.3755 | train Time: 0.4810 | Val_Loss 1.7404 | val Time(s) 0.2286
Epoch 00106 | Train_Loss: 1.4076 | train Time: 0.4604 | Val_Loss 1.7409 | val Time(s) 0.2417
Epoch 00107 | Train_Loss: 1.3957 | train Time: 0.4774 | Val_Loss 1.7392 | val Time(s) 0.2552
Epoch 00108 | Train_Loss: 1.3960 | train Time: 0.4705 | Val_Loss 1.7344 | val Time(s) 0.2396
Epoch 00109 | Train_Loss: 1.3862 | train Time: 0.4747 | Val_Loss 1.7315 | val Time(s) 0.2288
Epoch 00110 | Train_Loss: 1.3734 | train Time: 0.4712 | Val_Loss 1.7340 | val Time(s) 0.2350
Epoch 00111 | Train_Loss: 1.3933 | train Time: 0.4689 | Val_Loss 1.7433 | val Time(s) 0.2363
Epoch 00112 | Train_Loss: 1.3693 | train Time: 0.4606 | Val_Loss 1.7486 | val Time(s) 0.2340
Epoch 00113 | Train_Loss: 1.3809 | train Time: 0.4757 | Val_Loss 1.7421 | val Time(s) 0.2392
Epoch 00114 | Train_Loss: 1.3924 | train Time: 0.4847 | Val_Loss 1.7396 | val Time(s) 0.2274
Epoch 00115 | Train_Loss: 1.3925 | train Time: 0.4736 | Val_Loss 1.7335 | val Time(s) 0.2352
Epoch 00116 | Train_Loss: 1.4335 | train Time: 0.4774 | Val_Loss 1.7358 | val Time(s) 0.2517
Epoch 00117 | Train_Loss: 1.3730 | train Time: 0.4746 | Val_Loss 1.7392 | val Time(s) 0.2418
Epoch 00118 | Train_Loss: 1.4055 | train Time: 0.4757 | Val_Loss 1.7352 | val Time(s) 0.2377
Epoch 00119 | Train_Loss: 1.3812 | train Time: 0.4765 | Val_Loss 1.7421 | val Time(s) 0.2362
Epoch 00120 | Train_Loss: 1.4045 | train Time: 0.4786 | Val_Loss 1.7406 | val Time(s) 0.2510
Epoch 00121 | Train_Loss: 1.4178 | train Time: 0.4805 | Val_Loss 1.7394 | val Time(s) 0.2333
Epoch 00122 | Train_Loss: 1.3752 | train Time: 0.4701 | Val_Loss 1.7332 | val Time(s) 0.2489
Epoch 00123 | Train_Loss: 1.4117 | train Time: 0.4770 | Val_Loss 1.7258 | val Time(s) 0.2332
Epoch 00124 | Train_Loss: 1.3754 | train Time: 0.4786 | Val_Loss 1.7269 | val Time(s) 0.2400
Epoch 00125 | Train_Loss: 1.3932 | train Time: 0.4779 | Val_Loss 1.7334 | val Time(s) 0.2498
Epoch 00126 | Train_Loss: 1.3960 | train Time: 0.4762 | Val_Loss 1.7416 | val Time(s) 0.2345
Epoch 00127 | Train_Loss: 1.4097 | train Time: 0.4734 | Val_Loss 1.7377 | val Time(s) 0.2379
Epoch 00128 | Train_Loss: 1.3858 | train Time: 0.4838 | Val_Loss 1.7287 | val Time(s) 0.2395
Epoch 00129 | Train_Loss: 1.3636 | train Time: 0.4779 | Val_Loss 1.7233 | val Time(s) 0.2384
Epoch 00130 | Train_Loss: 1.4075 | train Time: 0.4826 | Val_Loss 1.7232 | val Time(s) 0.2351
Epoch 00131 | Train_Loss: 1.3977 | train Time: 0.4872 | Val_Loss 1.7276 | val Time(s) 0.2380
Epoch 00132 | Train_Loss: 1.4044 | train Time: 0.4817 | Val_Loss 1.7342 | val Time(s) 0.2346
Epoch 00133 | Train_Loss: 1.4130 | train Time: 0.4771 | Val_Loss 1.7351 | val Time(s) 0.2443
Epoch 00134 | Train_Loss: 1.3828 | train Time: 0.4744 | Val_Loss 1.7356 | val Time(s) 0.2332
Epoch 00135 | Train_Loss: 1.3769 | train Time: 0.4737 | Val_Loss 1.7331 | val Time(s) 0.2346
Epoch 00136 | Train_Loss: 1.3790 | train Time: 0.4717 | Val_Loss 1.7393 | val Time(s) 0.2539
Epoch 00137 | Train_Loss: 1.3926 | train Time: 0.4686 | Val_Loss 1.7423 | val Time(s) 0.2341
Epoch 00138 | Train_Loss: 1.4109 | train Time: 0.4698 | Val_Loss 1.7416 | val Time(s) 0.2348
Epoch 00139 | Train_Loss: 1.3880 | train Time: 0.4761 | Val_Loss 1.7388 | val Time(s) 0.2420
