../../data/ACM
2024-12-18 18:04:15
Graph(num_nodes=10942, num_edges=558748,
      ndata_schemes={}
      edata_schemes={})
4
model using: slotGAT
Epoch 00052 | Train_Loss: 0.7032 | train Time: 0.0895 | Val_Loss 0.6197 | val Time(s) 0.0637
Epoch 00053 | Train_Loss: 0.6871 | train Time: 0.0882 | Val_Loss 0.6150 | val Time(s) 0.0667
Epoch 00054 | Train_Loss: 0.7168 | train Time: 0.0900 | Val_Loss 0.5927 | val Time(s) 0.0665
Epoch 00055 | Train_Loss: 0.6783 | train Time: 0.0907 | Val_Loss 0.6142 | val Time(s) 0.0638
Epoch 00056 | Train_Loss: 0.6835 | train Time: 0.0903 | Val_Loss 0.5855 | val Time(s) 0.0646
Epoch 00057 | Train_Loss: 0.6583 | train Time: 0.0968 | Val_Loss 0.6097 | val Time(s) 0.0662
Epoch 00058 | Train_Loss: 0.7070 | train Time: 0.0988 | Val_Loss 0.5528 | val Time(s) 0.0649
Epoch 00059 | Train_Loss: 0.6374 | train Time: 0.0911 | Val_Loss 0.6324 | val Time(s) 0.0811
Epoch 00060 | Train_Loss: 0.7051 | train Time: 0.0933 | Val_Loss 0.6231 | val Time(s) 0.0661
Epoch 00061 | Train_Loss: 0.6636 | train Time: 0.0894 | Val_Loss 0.5819 | val Time(s) 0.0660
Epoch 00062 | Train_Loss: 0.6382 | train Time: 0.0931 | Val_Loss 0.5758 | val Time(s) 0.0650
Epoch 00063 | Train_Loss: 0.6871 | train Time: 0.1297 | Val_Loss 0.5694 | val Time(s) 0.0642
Epoch 00064 | Train_Loss: 0.6416 | train Time: 0.1546 | Val_Loss 0.5690 | val Time(s) 0.0643
Epoch 00065 | Train_Loss: 0.6433 | train Time: 0.0891 | Val_Loss 0.5774 | val Time(s) 0.0655
Epoch 00066 | Train_Loss: 0.6400 | train Time: 0.1642 | Val_Loss 0.5873 | val Time(s) 0.0636
Epoch 00067 | Train_Loss: 0.6523 | train Time: 0.1312 | Val_Loss 0.5816 | val Time(s) 0.0640
